epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
57,24086.7,1.36765,0.62852,0.94861,0.69517,0.55166,0.60261,0.37858,1.31931,0.56254,0.93629,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,24506.8,1.36638,0.62735,0.94836,0.69047,0.55246,0.60351,0.3785,1.31935,0.56234,0.93624,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,24926.9,1.36483,0.62497,0.94709,0.67957,0.5638,0.6045,0.37855,1.31948,0.56253,0.9361,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,25347.5,1.36073,0.62324,0.94738,0.68995,0.56206,0.6044,0.3792,1.31894,0.56218,0.93586,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,25767.8,1.359,0.62205,0.94556,0.68355,0.56609,0.6051,0.38086,1.31883,0.5619,0.93567,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,26188.9,1.36007,0.62146,0.94685,0.68021,0.56119,0.60593,0.38023,1.31868,0.56144,0.93559,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,26608.9,1.36005,0.62052,0.94622,0.68262,0.55441,0.60646,0.38069,1.3178,0.56055,0.93542,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,27027.8,1.35543,0.61749,0.94629,0.68582,0.55675,0.6086,0.38159,1.31726,0.56037,0.93532,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,27449.4,1.35287,0.61458,0.94505,0.68076,0.5571,0.60954,0.38148,1.31698,0.56007,0.93527,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,27870.7,1.35263,0.61513,0.94413,0.69738,0.55021,0.60919,0.38233,1.31676,0.55991,0.93514,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,28289.7,1.351,0.61354,0.94423,0.72195,0.53833,0.60972,0.3821,1.31633,0.55931,0.93514,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,28711.9,1.34961,0.61291,0.94382,0.72719,0.53759,0.61061,0.38241,1.3158,0.5586,0.935,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,29133.7,1.35,0.61078,0.94302,0.73465,0.53833,0.61149,0.38256,1.31491,0.55832,0.93474,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,29554.5,1.3476,0.60994,0.94289,0.71302,0.54497,0.61172,0.38239,1.31488,0.55801,0.93489,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,29975.6,1.34418,0.60738,0.94105,0.68903,0.56323,0.61245,0.38301,1.31421,0.55782,0.93434,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,30396.8,1.33968,0.60484,0.93989,0.69271,0.55813,0.61302,0.3852,1.31403,0.55767,0.93405,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,30817.9,1.33956,0.60406,0.94009,0.69004,0.56304,0.61219,0.38485,1.31439,0.55759,0.93407,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,31238,1.3404,0.60123,0.93939,0.69539,0.55882,0.6124,0.38429,1.31471,0.55758,0.93409,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,31658.6,1.33766,0.59926,0.93922,0.71263,0.55237,0.61409,0.38554,1.31447,0.55679,0.93396,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,32079.6,1.33608,0.59871,0.93782,0.70858,0.5557,0.61483,0.38504,1.31418,0.55669,0.93368,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,32498.7,1.33246,0.59371,0.93637,0.70725,0.56153,0.61487,0.38488,1.31389,0.55649,0.93318,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,32919.8,1.33248,0.59378,0.93712,0.70185,0.56178,0.61564,0.38641,1.31394,0.55637,0.93305,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
