               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  69,            0.036263,            0.042453,           0.0024623,             0.70849,             0.50524,             0.55114,             0.36915,            0.038719,            0.047307,           0.0060648,            0.003268,            0.003268,            0.003268
                  70,            0.036145,            0.042181,           0.0023927,             0.71075,             0.49578,             0.55017,             0.36797,            0.038679,            0.047201,           0.0060208,            0.003169,            0.003169,            0.003169
                  71,            0.036143,            0.042277,           0.0024352,             0.68778,             0.50597,             0.55574,             0.37284,             0.03865,            0.047256,           0.0060295,             0.00307,             0.00307,             0.00307
                  72,             0.03616,            0.041688,           0.0023047,             0.68454,             0.51386,              0.5497,             0.36769,            0.038667,             0.04742,           0.0062027,            0.002971,            0.002971,            0.002971
                  73,            0.035859,            0.042014,           0.0022805,             0.68887,              0.5089,             0.54681,             0.36638,            0.038698,            0.047399,           0.0062853,            0.002872,            0.002872,            0.002872
                  74,            0.035915,            0.042321,           0.0022851,             0.71577,             0.50431,             0.55002,             0.36607,            0.038736,            0.047536,           0.0062282,            0.002773,            0.002773,            0.002773
                  75,            0.035922,            0.041643,           0.0022816,             0.70726,             0.50362,             0.54886,             0.36725,            0.038776,            0.047525,           0.0062808,            0.002674,            0.002674,            0.002674
                  76,            0.035739,            0.041872,           0.0021963,             0.69663,             0.50685,             0.54898,              0.3664,            0.038712,             0.04742,           0.0062687,            0.002575,            0.002575,            0.002575
                  77,            0.035756,            0.041551,           0.0022674,              0.7118,             0.49581,             0.55001,             0.36721,            0.038756,            0.047417,           0.0062531,            0.002476,            0.002476,            0.002476
                  78,             0.03557,            0.041568,           0.0021629,             0.71893,             0.49263,             0.55188,             0.36967,            0.038768,            0.047462,           0.0062505,            0.002377,            0.002377,            0.002377
                  79,            0.035546,            0.041333,           0.0020993,             0.72286,             0.49424,              0.5476,             0.36585,            0.038771,             0.04756,           0.0063915,            0.002278,            0.002278,            0.002278
