arm,slice,class,metric,value,n_images,n_instances,reportable,timestamp
base_100,day,truck,mAP50,0.58751,4264,2532,True,2026-09-12T08:36:12.482376+00:00
base_100,day,truck,mAP75,0.4713,4264,2532,True,2026-09-12T08:36:12.482376+00:00
base_100,day,bus,mAP50-95,0.40172,4264,927,True,2026-09-12T08:36:12.482376+00:00
base_100,day,bus,mAP50,0.52241,4264,927,True,2026-09-12T08:36:12.482376+00:00
base_100,day,bus,mAP75,0.44214,4264,927,True,2026-09-12T08:36:12.482376+00:00
base_100,day,motor,mAP50-95,0.19057,4264,262,False,2026-09-12T08:36:12.482376+00:00
base_100,day,motor,mAP50,0.37355,4264,262,False,2026-09-12T08:36:12.482376+00:00
base_100,day,motor,mAP75,0.16174,4264,262,False,2026-09-12T08:36:12.482376+00:00
base_100,day,bike,mAP50-95,0.19976,4264,494,False,2026-09-12T08:36:12.482376+00:00
base_100,day,bike,mAP50,0.41847,4264,494,False,2026-09-12T08:36:12.482376+00:00
base_100,day,bike,mAP75,0.16426,4264,494,False,2026-09-12T08:36:12.482376+00:00
base_100,day_adverse,all,mAP50-95,0.34023,823,9252,True,2026-09-12T08:36:12.482376+00:00
base_100,day_adverse,all,mAP50,0.52615,823,9252,True,2026-09-12T08:36:12.482376+00:00
base_100,day_adverse,all,mAP75,0.35173,823,9252,True,2026-09-12T08:36:12.482376+00:00
base_100,day_adverse,car,mAP50-95,0.50909,823,8401,True,2026-09-12T08:36:12.482376+00:00
base_100,day_adverse,car,mAP50,0.80948,823,8401,True,2026-09-12T08:36:12.482376+00:00
base_100,day_adverse,car,mAP75,0.51961,823,8401,True,2026-09-12T08:36:12.482376+00:00
base_100,day_adverse,truck,mAP50-95,0.43541,823,540,False,2026-09-12T08:36:12.482376+00:00
base_100,day_adverse,truck,mAP50,0.60693,823,540,False,2026-09-12T08:36:12.482376+00:00
base_100,day_adverse,truck,mAP75,0.48503,823,540,False,2026-09-12T08:36:12.482376+00:00
base_100,day_adverse,bus,mAP50-95,0.35705,823,194,False,2026-09-12T08:36:12.482376+00:00
base_100,day_adverse,bus,mAP50,0.46096,823,194,False,2026-09-12T08:36:12.482376+00:00
base_100,day_adverse,bus,mAP75,0.38412,823,194,False,2026-09-12T08:36:12.482376+00:00
base_100,day_adverse,motor,mAP50-95,0.22203,823,23,False,2026-09-12T08:36:12.482376+00:00
base_100,day_adverse,motor,mAP50,0.35494,823,23,False,2026-09-12T08:36:12.482376+00:00
base_100,day_adverse,motor,mAP75,0.22183,823,23,False,2026-09-12T08:36:12.482376+00:00
base_100,day_adverse,bike,mAP50-95,0.17758,823,94,False,2026-09-12T08:36:12.482376+00:00
base_100,day_adverse,bike,mAP50,0.39843,823,94,False,2026-09-12T08:36:12.482376+00:00
base_100,day_adverse,bike,mAP75,0.14804,823,94,False,2026-09-12T08:36:12.482376+00:00
base_100,day_clear,all,mAP50-95,0.3486,1764,21352,True,2026-09-12T08:36:12.482376+00:00
base_100,day_clear,all,mAP50,0.54073,1764,21352,True,2026-09-12T08:36:12.482376+00:00
base_100,day_clear,all,mAP75,0.35772,1764,21352,True,2026-09-12T08:36:12.482376+00:00
base_100,day_clear,car,mAP50-95,0.49628,1764,19633,True,2026-09-12T08:36:12.482376+00:00
base_100,day_clear,car,mAP50,0.79349,1764,19633,True,2026-09-12T08:36:12.482376+00:00
base_100,day_clear,car,mAP75,0.50067,1764,19633,True,2026-09-12T08:36:12.482376+00:00
base_100,day_clear,truck,mAP50-95,0.42337,1764,1021,True,2026-09-12T08:36:12.482376+00:00
base_100,day_clear,truck,mAP50,0.56899,1764,1021,True,2026-09-12T08:36:12.482376+00:00
base_100,day_clear,truck,mAP75,0.46783,1764,1021,True,2026-09-12T08:36:12.482376+00:00
base_100,day_clear,bus,mAP50-95,0.42108,1764,380,False,2026-09-12T08:36:12.482376+00:00
base_100,day_clear,bus,mAP50,0.53735,1764,380,False,2026-09-12T08:36:12.482376+00:00
base_100,day_clear,bus,mAP75,0.48205,1764,380,False,2026-09-12T08:36:12.482376+00:00
base_100,day_clear,motor,mAP50-95,0.21087,1764,111,False,2026-09-12T08:36:12.482376+00:00
base_100,day_clear,motor,mAP50,0.4241,1764,111,False,2026-09-12T08:36:12.482376+00:00
base_100,day_clear,motor,mAP75,0.1632,1764,111,False,2026-09-12T08:36:12.482376+00:00
base_100,day_clear,bike,mAP50-95,0.19141,1764,207,False,2026-09-12T08:36:12.482376+00:00
base_100,day_clear,bike,mAP50,0.37972,1764,207,False,2026-09-12T08:36:12.482376+00:00
base_100,day_clear,bike,mAP75,0.17487,1764,207,False,2026-09-12T08:36:12.482376+00:00
base_100,day_rainy,all,mAP50-95,0.3642,396,4356,True,2026-09-12T08:36:12.482376+00:00
base_100,day_rainy,all,mAP50,0.56309,396,4356,True,2026-09-12T08:36:12.482376+00:00
base_100,day_rainy,all,mAP75,0.38318,396,4356,True,2026-09-12T08:36:12.482376+00:00
base_100,day_rainy,car,mAP50-95,0.5156,396,3930,True,2026-09-12T08:36:12.482376+00:00
base_100,day_rainy,car,mAP50,0.82042,396,3930,True,2026-09-12T08:36:12.482376+00:00
base_100,day_rainy,car,mAP75,0.52504,396,3930,True,2026-09-12T08:36:12.482376+00:00
base_100,day_rainy,truck,mAP50-95,0.43299,396,272,False,2026-09-12T08:36:12.482376+00:00
base_100,day_rainy,truck,mAP50,0.60598,396,272,False,2026-09-12T08:36:12.482376+00:00
base_100,day_rainy,truck,mAP75,0.48067,396,272,False,2026-09-12T08:36:12.482376+00:00
base_100,day_rainy,bus,mAP50-95,0.36218,396,97,False,2026-09-12T08:36:12.482376+00:00
base_100,day_rainy,bus,mAP50,0.46786,396,97,False,2026-09-12T08:36:12.482376+00:00
base_100,day_rainy,bus,mAP75,0.38922,396,97,False,2026-09-12T08:36:12.482376+00:00
base_100,day_rainy,motor,mAP50-95,0.30244,396,16,False,2026-09-12T08:36:12.482376+00:00
base_100,day_rainy,motor,mAP50,0.45869,396,16,False,2026-09-12T08:36:12.482376+00:00
base_100,day_rainy,motor,mAP75,0.33303,396,16,False,2026-09-12T08:36:12.482376+00:00
base_100,day_rainy,bike,mAP50-95,0.20777,396,41,False,2026-09-12T08:36:12.482376+00:00
base_100,day_rainy,bike,mAP50,0.46249,396,41,False,2026-09-12T08:36:12.482376+00:00
base_100,day_rainy,bike,mAP75,0.18792,396,41,False,2026-09-12T08:36:12.482376+00:00
base_100,day_snowy,all,mAP50-95,0.30285,422,4842,True,2026-09-12T08:36:12.482376+00:00
base_100,day_snowy,all,mAP50,0.47357,422,4842,True,2026-09-12T08:36:12.482376+00:00
base_100,day_snowy,all,mAP75,0.3041,422,4842,True,2026-09-12T08:36:12.482376+00:00
base_100,day_snowy,car,mAP50-95,0.50377,422,4421,True,2026-09-12T08:36:12.482376+00:00
base_100,day_snowy,car,mAP50,0.80123,422,4421,True,2026-09-12T08:36:12.482376+00:00
base_100,day_snowy,car,mAP75,0.51381,422,4421,True,2026-09-12T08:36:12.482376+00:00
base_100,day_snowy,truck,mAP50-95,0.44226,422,264,False,2026-09-12T08:36:12.482376+00:00
base_100,day_snowy,truck,mAP50,0.61581,422,264,False,2026-09-12T08:36:12.482376+00:00
base_100,day_snowy,truck,mAP75,0.49452,422,264,False,2026-09-12T08:36:12.482376+00:00
base_100,day_snowy,bus,mAP50-95,0.35465,422,97,False,2026-09-12T08:36:12.482376+00:00
base_100,day_snowy,bus,mAP50,0.45309,422,97,False,2026-09-12T08:36:12.482376+00:00
base_100,day_snowy,bus,mAP75,0.38419,422,97,False,2026-09-12T08:36:12.482376+00:00
base_100,day_snowy,motor,mAP50-95,0.05941,422,7,False,2026-09-12T08:36:12.482376+00:00
base_100,day_snowy,motor,mAP50,0.14851,422,7,False,2026-09-12T08:36:12.482376+00:00
base_100,day_snowy,motor,mAP75,0.0,422,7,False,2026-09-12T08:36:12.482376+00:00
base_100,day_snowy,bike,mAP50-95,0.15417,422,53,False,2026-09-12T08:36:12.482376+00:00
base_100,day_snowy,bike,mAP50,0.34919,422,53,False,2026-09-12T08:36:12.482376+00:00
base_100,day_snowy,bike,mAP75,0.12797,422,53,False,2026-09-12T08:36:12.482376+00:00
base_100,foggy,all,mAP50-95,0.27822,13,144,False,2026-09-12T08:36:12.482376+00:00
base_100,foggy,all,mAP50,0.6461,13,144,False,2026-09-12T08:36:12.482376+00:00
base_100,foggy,all,mAP75,0.2242,13,144,False,2026-09-12T08:36:12.482376+00:00
base_100,foggy,car,mAP50-95,0.44752,13,138,False,2026-09-12T08:36:12.482376+00:00
base_100,foggy,car,mAP50,0.73038,13,138,False,2026-09-12T08:36:12.482376+00:00
base_100,foggy,car,mAP75,0.46469,13,138,False,2026-09-12T08:36:12.482376+00:00
base_100,foggy,truck,mAP50-95,0.18713,13,5,False,2026-09-12T08:36:12.482376+00:00
base_100,foggy,truck,mAP50,0.20792,13,5,False,2026-09-12T08:36:12.482376+00:00
base_100,foggy,truck,mAP75,0.20792,13,5,False,2026-09-12T08:36:12.482376+00:00
base_100,foggy,bus,mAP50-95,,13,0,False,2026-09-12T08:36:12.482376+00:00
base_100,foggy,bus,mAP50,,13,0,False,2026-09-12T08:36:12.482376+00:00
base_100,foggy,bus,mAP75,,13,0,False,2026-09-12T08:36:12.482376+00:00
base_100,foggy,motor,mAP50-95,0.2,13,1,False,2026-09-12T08:36:12.482376+00:00
base_100,foggy,motor,mAP50,1.0,13,1,False,2026-09-12T08:36:12.482376+00:00
base_100,foggy,motor,mAP75,0.0,13,1,False,2026-09-12T08:36:12.482376+00:00
base_100,foggy,bike,mAP50-95,,13,0,False,2026-09-12T08:36:12.482376+00:00
