arm,slice,class,metric,value,n_images,n_instances,reportable,timestamp
base_10,day,motor,mAP50,0.26279,4264,262,False,2026-09-12T10:24:16.975555+00:00
base_10,day,motor,mAP75,0.08133,4264,262,False,2026-09-12T10:24:16.975555+00:00
base_10,day,bike,mAP50-95,0.12233,4264,494,False,2026-09-12T10:24:16.975555+00:00
base_10,day,bike,mAP50,0.28078,4264,494,False,2026-09-12T10:24:16.975555+00:00
base_10,day,bike,mAP75,0.08543,4264,494,False,2026-09-12T10:24:16.975555+00:00
base_10,day_adverse,all,mAP50-95,0.26947,823,9252,True,2026-09-12T10:24:16.975555+00:00
base_10,day_adverse,all,mAP50,0.43846,823,9252,True,2026-09-12T10:24:16.975555+00:00
base_10,day_adverse,all,mAP75,0.28142,823,9252,True,2026-09-12T10:24:16.975555+00:00
base_10,day_adverse,car,mAP50-95,0.46128,823,8401,True,2026-09-12T10:24:16.975555+00:00
base_10,day_adverse,car,mAP50,0.75616,823,8401,True,2026-09-12T10:24:16.975555+00:00
base_10,day_adverse,car,mAP75,0.46072,823,8401,True,2026-09-12T10:24:16.975555+00:00
base_10,day_adverse,truck,mAP50-95,0.35622,823,540,False,2026-09-12T10:24:16.975555+00:00
base_10,day_adverse,truck,mAP50,0.51151,823,540,False,2026-09-12T10:24:16.975555+00:00
base_10,day_adverse,truck,mAP75,0.39679,823,540,False,2026-09-12T10:24:16.975555+00:00
base_10,day_adverse,bus,mAP50-95,0.26905,823,194,False,2026-09-12T10:24:16.975555+00:00
base_10,day_adverse,bus,mAP50,0.3837,823,194,False,2026-09-12T10:24:16.975555+00:00
base_10,day_adverse,bus,mAP75,0.2885,823,194,False,2026-09-12T10:24:16.975555+00:00
base_10,day_adverse,motor,mAP50-95,0.14582,823,23,False,2026-09-12T10:24:16.975555+00:00
base_10,day_adverse,motor,mAP50,0.27922,823,23,False,2026-09-12T10:24:16.975555+00:00
base_10,day_adverse,motor,mAP75,0.19095,823,23,False,2026-09-12T10:24:16.975555+00:00
base_10,day_adverse,bike,mAP50-95,0.115,823,94,False,2026-09-12T10:24:16.975555+00:00
base_10,day_adverse,bike,mAP50,0.26172,823,94,False,2026-09-12T10:24:16.975555+00:00
base_10,day_adverse,bike,mAP75,0.07014,823,94,False,2026-09-12T10:24:16.975555+00:00
base_10,day_clear,all,mAP50-95,0.26073,1764,21352,True,2026-09-12T10:24:16.975555+00:00
