               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  60,            0.013721,           0.0024474,           0.0019067,             0.17268,             0.20497,              0.1499,            0.088086,            0.047451,             0.21481,             0.00726,            0.004159,            0.004159,            0.004159
                  61,            0.013942,           0.0024411,           0.0019163,              0.1719,             0.20081,             0.14788,            0.087165,            0.047373,             0.21719,           0.0072592,             0.00406,             0.00406,             0.00406
                  62,             0.01389,           0.0024109,           0.0020052,             0.16992,             0.19908,             0.14579,            0.086007,            0.047299,             0.21928,           0.0072486,            0.003961,            0.003961,            0.003961
                  63,            0.013817,           0.0023719,           0.0020037,             0.16453,             0.19853,             0.14286,            0.084115,            0.047218,             0.21996,           0.0072404,            0.003862,            0.003862,            0.003862
                  64,            0.013534,           0.0024084,            0.001877,             0.16077,             0.19955,             0.14078,            0.082845,            0.047141,             0.22038,           0.0072269,            0.003763,            0.003763,            0.003763
                  65,            0.013596,           0.0024069,           0.0017677,             0.15623,             0.19532,             0.13705,            0.080776,            0.047073,             0.22236,           0.0072199,            0.003664,            0.003664,            0.003664
                  66,            0.013378,           0.0023694,           0.0018362,             0.15612,             0.19115,              0.1355,            0.080383,            0.046997,             0.22463,           0.0072113,            0.003565,            0.003565,            0.003565
                  67,            0.013548,           0.0023789,           0.0019072,             0.15387,             0.19151,             0.13433,            0.079909,            0.046906,             0.22561,           0.0071915,            0.003466,            0.003466,            0.003466
                  68,            0.013428,           0.0023946,           0.0018247,             0.15116,             0.19006,             0.13218,            0.078871,            0.046829,             0.22728,           0.0071835,            0.003367,            0.003367,            0.003367
                  69,            0.013909,           0.0024124,           0.0020666,             0.14753,             0.18847,             0.12958,            0.077005,             0.04676,             0.22907,           0.0071661,            0.003268,            0.003268,            0.003268
                  70,            0.013327,           0.0023525,           0.0019223,             0.14536,             0.18577,             0.12723,            0.075847,            0.046708,             0.23147,           0.0071576,            0.003169,            0.003169,            0.003169
                  71,            0.013199,           0.0023885,           0.0018251,             0.14422,             0.18351,             0.12604,            0.074848,             0.04662,              0.2335,           0.0071433,             0.00307,             0.00307,             0.00307
                  72,            0.013422,           0.0024272,           0.0018464,             0.14171,              0.1821,             0.12435,            0.073803,            0.046538,             0.23492,           0.0071332,            0.002971,            0.002971,            0.002971
                  73,            0.013348,           0.0024088,           0.0019387,             0.13911,             0.18161,             0.12254,            0.072827,            0.046471,             0.23586,           0.0071186,            0.002872,            0.002872,            0.002872
                  74,            0.013271,           0.0024278,           0.0018658,             0.13786,             0.17971,             0.12171,            0.072772,            0.046374,             0.23649,           0.0071031,            0.002773,            0.002773,            0.002773
                  75,            0.012915,           0.0023569,           0.0017348,              0.1373,             0.18087,             0.12148,            0.072681,            0.046286,             0.23694,           0.0070812,            0.002674,            0.002674,            0.002674
                  76,            0.012662,            0.002255,           0.0018192,             0.13619,             0.17881,             0.12098,             0.07275,            0.046207,             0.23905,           0.0070585,            0.002575,            0.002575,            0.002575
                  77,            0.012782,           0.0023402,           0.0017972,             0.13605,             0.17841,             0.12049,            0.072544,            0.046131,              0.2403,           0.0070406,            0.002476,            0.002476,            0.002476
