epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
67,28427.5,1.38473,0.87451,0.93806,0.73968,0.56237,0.62412,0.38485,1.31704,0.7852,0.93312,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,28850.2,1.38268,0.87271,0.93695,0.73491,0.56435,0.62472,0.38568,1.3169,0.78456,0.93287,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,29271.8,1.38321,0.87148,0.93648,0.7258,0.56709,0.62449,0.38533,1.317,0.78394,0.93276,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,29693.9,1.3806,0.86871,0.93695,0.72195,0.56883,0.62491,0.38531,1.31664,0.78357,0.93236,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,30117.1,1.37731,0.86495,0.93628,0.70582,0.57668,0.62478,0.38558,1.31639,0.78328,0.93212,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,30539.2,1.37383,0.86216,0.93557,0.69583,0.58003,0.62458,0.38516,1.31603,0.78278,0.93187,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,30962.4,1.37466,0.86132,0.93575,0.69889,0.5798,0.62444,0.38489,1.31601,0.78258,0.9319,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,31383.8,1.37294,0.85846,0.93404,0.70186,0.57462,0.62488,0.38551,1.31557,0.78251,0.93174,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,31807.5,1.37172,0.85606,0.93385,0.70976,0.57359,0.62596,0.38507,1.31521,0.78178,0.93172,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,32227.4,1.36989,0.85421,0.93385,0.71902,0.57903,0.62684,0.38592,1.31528,0.78164,0.93167,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,32651.9,1.36697,0.8481,0.93254,0.72362,0.57806,0.62701,0.38688,1.31474,0.78083,0.93136,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,33075.4,1.36686,0.84735,0.93238,0.72126,0.57901,0.62881,0.38752,1.31465,0.78087,0.9311,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,33498.8,1.36307,0.84577,0.93276,0.72069,0.58148,0.62973,0.38785,1.31461,0.78056,0.93123,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,33920.8,1.36083,0.84406,0.93123,0.71991,0.58115,0.62975,0.38783,1.31464,0.78027,0.93096,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,34338.7,1.40419,0.84776,0.94929,0.71556,0.57889,0.62865,0.38664,1.31474,0.78043,0.93072,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,34755,1.40054,0.84383,0.94819,0.70167,0.58623,0.62898,0.3869,1.31474,0.78013,0.93053,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,35172,1.39754,0.83905,0.9483,0.71105,0.57657,0.62866,0.38823,1.315,0.78037,0.93059,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,35588.2,1.3955,0.83732,0.94655,0.70532,0.57719,0.62098,0.38694,1.31443,0.78092,0.93046,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,36005.8,1.39303,0.83228,0.94642,0.7065,0.58103,0.6216,0.38753,1.31442,0.78053,0.93044,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,36421.5,1.38934,0.82816,0.94539,0.70312,0.5797,0.6212,0.38567,1.31473,0.78083,0.93039,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,36837.1,1.38884,0.82405,0.94445,0.69523,0.57769,0.61922,0.38514,1.31475,0.78073,0.93018,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,37253.7,1.38516,0.81988,0.94354,0.69283,0.57907,0.61844,0.3843,1.31515,0.78024,0.93013,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,37670.2,1.3825,0.81553,0.94311,0.69039,0.58234,0.61926,0.38437,1.31545,0.78068,0.93016,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,38086.6,1.37774,0.81091,0.94135,0.69469,0.5837,0.61908,0.38471,1.3155,0.78099,0.92997,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,38504.1,1.37604,0.80659,0.9403,0.69227,0.57902,0.61849,0.38419,1.3153,0.7812,0.92973,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,38920.4,1.37138,0.80093,0.93854,0.70043,0.56448,0.61563,0.38333,1.31528,0.78133,0.92961,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,39334.4,1.36869,0.7973,0.93953,0.70228,0.56526,0.61395,0.3837,1.31595,0.78211,0.92971,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,39748.8,1.36479,0.79216,0.93837,0.70143,0.56803,0.61502,0.38291,1.31666,0.78233,0.92975,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,40164.5,1.36344,0.78735,0.9378,0.7053,0.56412,0.61395,0.38324,1.31739,0.78273,0.93014,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,40581.4,1.35859,0.78145,0.93675,0.71079,0.56431,0.61374,0.38202,1.3176,0.7833,0.93004,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,40998.4,1.35555,0.77621,0.93437,0.71455,0.55795,0.61508,0.38177,1.31808,0.78362,0.92996,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,41410.7,1.35108,0.77102,0.93243,0.71372,0.56035,0.61503,0.38139,1.31935,0.78403,0.92998,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,41826.7,1.34991,0.76804,0.9342,0.7123,0.55792,0.61359,0.37937,1.31975,0.78439,0.93,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,42244.3,1.34698,0.76335,0.93295,0.71151,0.56328,0.61338,0.37868,1.32057,0.78495,0.93007,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
