epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
53,68084.1,1.40061,0.89738,0.94464,0.72295,0.56768,0.62283,0.38497,1.32402,0.78876,0.93602,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,69449.1,1.39949,0.8968,0.94473,0.71184,0.56916,0.62366,0.38522,1.32407,0.78904,0.9358,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,70848.9,1.39498,0.89204,0.94315,0.70478,0.57086,0.62347,0.38558,1.32386,0.78874,0.93576,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,72264.3,1.39755,0.89138,0.94403,0.70656,0.56917,0.6237,0.38634,1.32281,0.78755,0.93548,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,73676.8,1.39324,0.8906,0.9434,0.72091,0.55523,0.62271,0.3866,1.3223,0.78724,0.93539,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,75107,1.39411,0.8903,0.94303,0.72246,0.55921,0.62286,0.38815,1.32205,0.78716,0.93519,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,76498.1,1.39312,0.88889,0.94249,0.71986,0.55523,0.62143,0.3871,1.32128,0.7859,0.93477,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,77923.7,1.39026,0.88412,0.9417,0.72028,0.55804,0.62123,0.38854,1.32081,0.7856,0.93452,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,79330.5,1.38937,0.8817,0.93999,0.71267,0.56623,0.62068,0.38758,1.32,0.78391,0.93387,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,80739.5,1.3862,0.88052,0.93957,0.7061,0.56835,0.62026,0.38621,1.32022,0.7859,0.93415,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
